Number,Title,Author,Gender,State,Created,Closed,Number of Comments,Sentiment,Sadness,Joy,Fear,Disgust,Anger
12442,util: add util.promisify(),Anna,female,MERGED,2017-04-16T16:30:05Z,2017-05-09T13:05:49Z,80,0.4051,0.2806,0.3542,0.0949,0.036,0.051
42340,deps: upgrade to libuv 1.44.2,Luigi,male,CLOSED,2022-03-15T09:11:46Z,2022-11-05T18:55:06Z,79,-0.4447,0.3322,0.2919,0.1322,0.0303,0.0612
15362,deps: update V8 to 6.2,Michaël,male,CLOSED,2017-09-12T11:20:17Z,2017-10-19T00:09:58Z,79,-0.5429,0.3081,0.2641,0.11,0.0427,0.0763
38233,quic: add quic,James,male,CLOSED,2021-04-13T21:13:25Z,2022-08-21T03:50:43Z,78,-0.3219,0.3385,0.2529,0.1103,0.0337,0.0473
32116,deps: update V8 to 8.1,mary,female,CLOSED,2020-03-06T04:21:07Z,2020-03-18T23:50:58Z,78,-0.518,0.2969,0.2868,0.1301,0.0318,0.0589
44731,net: add autoSelectFamily option,Paolo,male,MERGED,2022-09-20T12:31:46Z,2022-12-03T17:55:57Z,77,-0.4472,0.2982,0.322,0.1092,0.0361,0.0621
30891,[WIP] Support requiring .mjs files,Wesley,male,CLOSED,2019-12-10T22:05:32Z,2021-06-20T16:16:04Z,77,-0.4605,0.3353,0.2685,0.0845,0.0341,0.0708
30370,src: add support for top level await,snek,male,MERGED,2019-11-12T06:30:54Z,2020-05-14T17:41:04Z,77,-0.3973,0.3051,0.2842,0.1091,0.0314,0.076
29412,child_process: add 'overlapped' stdio flag,Thiago,male,CLOSED,2019-09-02T18:58:05Z,2021-01-03T21:42:33Z,77,-0.5781,0.3219,0.2727,0.0867,0.0544,0.055
5950,module: preserve symlinks when requiring,Alex,male,CLOSED,2016-03-30T03:54:53Z,2016-04-25T16:26:14Z,77,-0.4186,0.2968,0.3068,0.1037,0.031,0.0759
38905,bootstrap: implement run-time user-land snapshots via --build-snapshot and --snapshot-blob,Joyee,female,CLOSED,2021-06-02T17:04:41Z,2022-08-02T16:53:46Z,76,-0.3122,0.3265,0.308,0.0871,0.0254,0.0496
35398,deps: Experiments with Corepack,Maël,male,CLOSED,2020-09-28T15:37:26Z,2021-07-31T13:10:58Z,76,-0.4018,0.2821,0.3185,0.1131,0.0252,0.0664
13870,Report async tasks to V8 Inspector,Miroslav,male,CLOSED,2017-06-22T09:48:09Z,2017-08-17T12:57:30Z,76,-0.4132,0.2843,0.2695,0.1039,0.0415,0.0802
42115,deps: update V8 to 10.2,Michaël,male,CLOSED,2022-02-24T13:54:11Z,2022-04-14T15:13:47Z,75,-0.4429,0.2988,0.2891,0.1268,0.0352,0.0562
34337,deps: update V8 to 8.5,Michaël,male,CLOSED,2020-07-13T13:41:02Z,2020-09-29T15:25:21Z,75,-0.5338,0.2805,0.2767,0.0994,0.03,0.0706
